DESCR,ID_NODE,ID_PARENT,ORD,ID_TREE,TAG,DESCR
CDS ESD 2 - Separation Train 4,253,230,23,4,SDV-1214-01,Close SDV - Dehydrator Fresh Water inlet
CDS ESD 2 - Separation Train 4,254,230,24,4,SDV-1214-02,Close SDV - Dehydrator Oil outlet
CDS ESD 2 - Separation Train 4,255,230,25,4,SDV-1214-03,Close SDV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,256,230,26,4,LCV-1214-04 ,Close LCV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,257,230,27,4,SOV-1204-05,Close SOV - Demulsifier inlet valve
CDS ESD 2 - Separation Train 4,258,230,28,4,EXS-1214-01,De-energize  EXS - Command to De-energize Dehydration Transformers
CDS ESD 2 - Separation Train 4,259,0,0,4,S-2004-04 ,ESD from GASCO Header
CDS ESD 2 - Separation Train 4,260,259,1,4,S-2004-02 ,Separation Train n°4 - Wet Mode
CDS ESD 2 - Separation Train 4,261,260,0,4,SDV-0304-01,Close SDV - Oil Inlet Valve to Prod. Separator V-0304 
CDS ESD 2 - Separation Train 4,262,260,1,4,SDV-0304-04,Close SDV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,263,260,2,4,LCV-0304-01A/B,Close LCV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,264,260,3,4,SDV-0304-02,Close SDV - Fresh Water inlet valve to Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,265,260,4,4,SDV-0304-05,Close SDV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,266,260,5,4,FCV-0304-08,Close FCV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,267,260,6,4,SDV-0304-03,Close SDV - Gas outlet valve from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,268,260,7,4,SOV-0304-01A,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,269,260,8,4,SOV-0304-01B,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,270,260,9,4,SDV-0404-03,Close SDV - Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,271,260,10,4,LCV - 0404-01A,Close LCV -  Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,272,260,11,4,LCV - 0404-01B,Close LCV - Water outlet from V-0404
CDS ESD 2 - Separation Train 4,273,260,12,4,SDV-0404-04,Close SDV - Oil outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,274,260,13,4,SDV-0404-05,Close SDV - Oil inlet from Pig Receiver RP-1301/02/03/04/05
CDS ESD 2 - Separation Train 4,275,260,14,4,SDV-0404-06,Close SDV - Oil inlet from Rec. Sump V-1101
CDS ESD 2 - Separation Train 4,276,260,16,4,SDV-0404-02,Close SDV - Gas outlet valve from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,277,260,17,4,SOV-0404-01A/01B,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 - Separation Train 4,278,260,18,4,SDV-1204-02,Close SDV - Oil outlet from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,279,260,19,4,SDV-1204-01,Close SDV - Gas outlet valve from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,280,260,20,4,SDV-1204-03A/03B,Close SDV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,281,260,21,4,P-1204-01,Stop Dehydrator Feed Pump P-1204-01
CDS ESD 2 - Separation Train 4,282,260,22,4,P-1204-02,Stop Dehydrator Feed Pump P-1204-02
CDS ESD 2 - Separation Train 4,283,260,23,4,SDV-1214-01,Close SDV - Dehydrator Fresh Water inlet
CDS ESD 2 - Separation Train 4,284,260,24,4,SDV-1214-02,Close SDV - Dehydrator Oil outlet
CDS ESD 2 - Separation Train 4,285,260,25,4,SDV-1214-03,Close SDV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,286,260,26,4,LCV-1214-04 ,Close LCV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,287,260,27,4,SOV-1204-05,Close SOV - Demulsifier inlet valve
CDS ESD 2 - Separation Train 4,288,260,28,4,EXS-1214-01,De-energize  EXS - Command to De-energize Dehydration Transformers
CDS ESD 2 - Separation Train 4,289,0,1,4,HS-0004-01A/B,ESD Push Button from CCR/Field
CDS ESD 2 - Separation Train 4,290,289,0,4,S-2004-02 ,Separation Train n°4 - Wet Mode
CDS ESD 2 - Separation Train 4,291,290,0,4,SDV-0304-01,Close SDV - Oil Inlet Valve to Prod. Separator V-0304 
CDS ESD 2 - Separation Train 4,292,290,1,4,SDV-0304-04,Close SDV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,293,290,2,4,LCV-0304-01A/B,Close LCV - Water outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,294,290,3,4,SDV-0304-02,Close SDV - Fresh Water inlet valve to Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,295,290,4,4,SDV-0304-05,Close SDV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,296,290,5,4,FCV-0304-08,Close FCV - Oil outlet from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,297,290,6,4,SDV-0304-03,Close SDV - Gas outlet valve from Prod. Separator V-0304
CDS ESD 2 - Separation Train 4,298,290,7,4,SOV-0304-01A,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,299,290,8,4,SOV-0304-01B,Close SOV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,300,290,9,4,SDV-0404-03,Close SDV - Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,301,290,10,4,LCV - 0404-01A,Close LCV -  Water outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,302,290,11,4,LCV - 0404-01B,Close LCV - Water outlet from V-0404
CDS ESD 2 - Separation Train 4,303,290,12,4,SDV-0404-04,Close SDV - Oil outlet from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,304,290,13,4,SDV-0404-05,Close SDV - Oil inlet from Pig Receiver RP-1301/02/03/04/05
CDS ESD 2 - Separation Train 4,305,290,14,4,SDV-0404-06,Close SDV - Oil inlet from Rec. Sump V-1101
CDS ESD 2 - Separation Train 4,306,290,16,4,SDV-0404-02,Close SDV - Gas outlet valve from Prod. Separator V-0404
CDS ESD 2 - Separation Train 4,307,290,17,4,SOV-0404-01A/01B,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 - Separation Train 4,308,290,18,4,SDV-1204-02,Close SDV - Oil outlet from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,309,290,19,4,SDV-1204-01,Close SDV - Gas outlet valve from Surge Vessel V-1204
CDS ESD 2 - Separation Train 4,310,290,20,4,SDV-1204-03A/03B,Close SDV - Corrosion Inhibitor inlet valve
CDS ESD 2 - Separation Train 4,311,290,21,4,P-1204-01,Stop Dehydrator Feed Pump P-1204-01
CDS ESD 2 - Separation Train 4,312,290,22,4,P-1204-02,Stop Dehydrator Feed Pump P-1204-02
CDS ESD 2 - Separation Train 4,313,290,23,4,SDV-1214-01,Close SDV - Dehydrator Fresh Water inlet
CDS ESD 2 - Separation Train 4,314,290,24,4,SDV-1214-02,Close SDV - Dehydrator Oil outlet
CDS ESD 2 - Separation Train 4,315,290,25,4,SDV-1214-03,Close SDV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,316,290,26,4,LCV-1214-04 ,Close LCV - Dehydrator Water outlet
CDS ESD 2 - Separation Train 4,317,290,27,4,SOV-1204-05,Close SOV - Demulsifier inlet valve
CDS ESD 2 - Separation Train 4,318,290,28,4,EXS-1214-01,De-energize  EXS - Command to De-energize Dehydration Transformers
CDS ESD 2 - Separation Train 4,438,211,15,4,SDV-0404-07,Oil outlet from Test Separator V-0602
CDS ESD 2 - Separation Train 4,439,230,15,4,SDV-0404-07,Close SDV - Oil outlet from Test Separator V-0602
CDS ESD 2 - Separation Train 4,440,260,15,4,SDV-0404-07,Close SDV - Oil outlet from Test Separator V-0602
CDS ESD 2 - Separation Train 4,441,290,15,4,SDV-0404-07,Close SDV - Oil outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,453,0,1,7,HS-0602-01A/B,ESD Push Button from CCR/Field
CDS ESD 2 Test Separator V-0602,454,453,0,7,S-2007-01,Test Separator V-0602
CDS ESD 2 Test Separator V-0602,455,454,0,7,SDV-0602-01,Close SDV - Oil Inlet Valve to Test Separator V-0602  
CDS ESD 2 Test Separator V-0602,456,454,1,7,SDV-0602-03,Close SDV - Gas outlet from  Test Separator V-0602
CDS ESD 2 Test Separator V-0602,457,454,2,7,SDV-0602-04,Close SDV - Water outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,458,454,3,7,LCV-0602-02A/02B,Close LCV - Water outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,459,454,4,7,LCV-0602-06A/06B,Close LCV - Oil outlet from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,460,454,5,7,SDV-0403-08,Close SDV - Oil to Prod. Separator V-0403 from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,461,454,6,7, SDV-0404-07,Close SDV - Oil to Prod. Separator V-0404 from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,462,454,7,7,SDV-0405-06,Close SDV - Oil to Prod. Separator V-0405 from Test Separator V-0602
CDS ESD 2 Test Separator V-0602,463,454,8,7,SOV-0602-01A/01C,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 Test Separator V-0602,466,90,8,7,SOV-0602-01A/01C,Close SOV - Corrosion Inhibitor Inlet Valve
CDS ESD 2 Test Separator V-0603,478,0,0,8,HS-0603-01A/01B,ESD Push Button CCR/Field
CDS ESD 2 Test Separator V-0603,479,478,0,8,S-2008-01,Test Separator V-0603
CDS ESD 2 Test Separator V-0603,480,479,0,8,SDV-0603-01,Close SDV - Oil Inlet Valve to Test Separator V-0603  
CDS ESD 2 Test Separator V-0603,481,479,1,8,SDV-0603-03,Close SDV - Gas outlet from  Test Separator V-0603
CDS ESD 2 Test Separator V-0603,482,479,2,8,SDV-0603-04,Close SDV - Water outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,483,479,3,8,LCV-0603-02A/02B,Close LCV - Water outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,484,479,4,8,LCV-0603-06A/06B,Close LCV - Oil outlet from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,485,479,5,8,SDV-0401-06,Close SDV - Oil to Prod. Separator V-0401 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,486,479,6,8, SDV-0403-06,Close SDV - Oil to Prod. Separator V-0402 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,487,479,7,8,SDV-0403-06,Close SDV - Oil to Prod. Separator V-0403 from Test Separator V-0603
CDS ESD 2 Test Separator V-0603,488,479,8,8,SOV-0603-02A/02C,Close SOV - Corrosion Inhibitor inlet valve 
CDS ESD 2 Test Separator V-0601,491,0,0,6,S-2006-02,ESD 2 from ESD 1
CDS ESD 2 Test Separator V-0601,502,0,2,6,HS-0601-01A/B,ESD Push Button from CCR/Field
CDS ESD 2 Test Separator V-0601,503,502,0,6,S-2006-01,Test Separator V-0601
CDS ESD 2 Test Separator V-0601,504,503,0,6,SDV-0601-01,Close SDV - Oil Inlet Valve to Test Separator V-0601  
CDS ESD 2 Test Separator V-0601,505,503,1,6,SDV-0601-03,Close SDV - Gas outlet from  Test Separator V-0601
CDS ESD 2 Test Separator V-0601,506,503,2,6,SDV-0601-04,Close SDV - Water outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,507,503,3,6,LCV-0601-02A/02B,Close LCV - Water outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,508,503,4,6,LCV-0601-06A/06B,Close LCV - Oil outlet from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,509,503,5,6,SDV-0401-05,Close SDV - Oil to Prod. Separator V-0401 from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,510,503,6,6, SDV-0402-05,Close SDV - Oil to Prod. Separator V-0402 from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,511,503,7,6,SDV-0403-07,Close SDV - Oil to Prod. Separator V-0403 from Test Separator V-0601
CDS ESD 2 Test Separator V-0601,512,503,8,6,SOV-0601-02A/02C,Close SOV - Corrosion Inhibitor inlet valve 
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",515,539,0,9,S-2010-01,Degassing Boot FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",516,515,0,9,SDV-0701-02,Close SDV - Oil inlet Valve to Degassing Boot V-0701
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",517,515,1,9,SDV-0701-03,Close SDV -Gas to GASCO LP Header
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",518,515,2,9,SOV-0701-06,Close SDV - Demulsifier to Degassing Boot V-0701
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",519,515,3,9,SDV-0801-01,Close SDV - Oil outlet valve from FST
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",520,515,4,9,SOV-0801-02,Close SOV - De-Waxing Agent to FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",521,515,5,9,SDV-3801-01,Close SDV - Motive Gas inlet Vapour Rec. Ejector J-3801-01/02
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",522,515,6,9,SDV-2420-03,Close SDV - Water outlet valve from FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",523,515,7,9,P-2421,Stop P-2421 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",524,515,8,9,P-2422,Stop P-2422 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",525,0,11,9,HS-0701-01A/B,ESD Push Button CCR/Field 
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",526,525,0,9,S-2010-01,Degassing Boot FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",527,526,0,9,SDV-0701-02,Close SDV - Oil inlet Valve to Degassing Boot V-0701
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",528,526,1,9,SDV-0701-03,Close SDV -Gas to GASCO LP Header
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",529,526,2,9,SOV-0701-06,Close SDV - Demulsifier to Degassing Boot V-0701
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",530,526,3,9,SDV-0801-01,Close SDV - Oil outlet valve from FST
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",531,526,4,9,SOV-0801-02,Close SOV - De-Waxing Agent to FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",532,526,5,9,SDV-3801-01,Close SDV - Motive Gas inlet Vapour Rec. Ejector J-3801-01/02
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",533,526,6,9,SDV-2420-03,Close SDV - Water outlet valve from FST T-0801
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",534,526,7,9,P-2421,Stop P-2421 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",535,526,8,9,P-2422,Stop P-2422 - Water Transfer Pump
"CDS ESD 2 Degassing Boot V-0701, FST T-0801 ",539,0,0,9,S-2010-02 ,ESD 2 from ESD 1
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",540,566,0,10,S-2011-01,Degassing Boot FST T-0802
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",541,540,0,10,SDV-0702-01,Close SDV - Oil inlet Valve to Degassing Boot V-0702
"CDS ESD 2 Degassing Boot V-0702,  FST T-0802 ",542,540,1,10,SDV-0702-03,Close SDV -Gas to GASCO LP Header
